iter	RMSE
0	0.9349783199
1	0.8809983092
2	0.8289317216
3	0.7877200804
4	0.7515879089
5	0.7147505666
6	0.6871831039
7	0.6620376899
8	0.6385646465
9	0.6181304296
10	0.5961037082
11	0.579784379
12	0.5661512915
13	0.5540031214
14	0.5426521982
15	0.5329619376
16	0.5253091414
17	0.5141888089
18	0.5068322184
19	0.5011098535
20	0.4943219301
21	0.4888194591
22	0.4826131788
23	0.4782918425
24	0.4741822703
25	0.4709430291
26	0.4674322713
27	0.4631483204
28	0.4573755233
29	0.4532707918
30	0.4509783941
31	0.4469910497
32	0.4442668416
33	0.4422332704
34	0.4390329295
35	0.4365730415
36	0.4331185162
37	0.431173111
38	0.4295783283
39	0.4283129716
40	0.426529946
41	0.4251835995
42	0.4234380049
43	0.4220075796
44	0.4206493348
45	0.4195152552
46	0.4167983227
47	0.4150148653
48	0.4140956241
49	0.4128463469
50	0.4111053464
51	0.4100114311
52	0.4092765552
53	0.4083357079
54	0.4071852435
55	0.4065498758
56	0.4059394232
57	0.403898709
58	0.4034028209
59	0.4025869053
60	0.4019594312
61	0.4013230743
62	0.4001998642
63	0.3995023033
64	0.3986597074
65	0.3983283889
66	0.3979607296
67	0.39714083
68	0.3961201794
69	0.3959159409
70	0.395559269
71	0.3953050739
72	0.3950726215
73	0.3947062294
74	0.3937933261
75	0.393643719
76	0.3931950182
77	0.3930456749
78	0.3924464745
79	0.3920220516
80	0.3918051875
81	0.391615288
82	0.3909267008
83	0.3907154269
84	0.3905149056
85	0.3898584555
86	0.3897484032
87	0.3895574956
88	0.3894115177
89	0.3892239017
90	0.388864489
91	0.3887372099
92	0.3886072914
93	0.3882127319
94	0.3879401067
95	0.387646201
96	0.3873488043
97	0.3871319394
98	0.3870351774
99	0.386899965
100	0.3866459721
101	0.3864719164
102	0.3862653795
103	0.3858753759
104	0.3857443446
105	0.3855953094
106	0.3854632753
107	0.3853666101
108	0.3852425544
109	0.3849036999
110	0.3839068758
111	0.3837983844
112	0.3836912454
113	0.3835368333
114	0.3832575718
115	0.3831433884
116	0.3830604368
117	0.3829694041
118	0.382846215
119	0.3827511544
120	0.3826815804
121	0.3825792981
122	0.3819317712
123	0.3817987567
124	0.3816204379
125	0.3814590412
126	0.3813352864
127	0.3808872156
128	0.3806270458
129	0.3801056166
130	0.3800368871
131	0.3799402387
132	0.3794210205
133	0.3793427871
134	0.3791778717
135	0.3789075298
136	0.3788249322
137	0.3787212307
138	0.3783022147
139	0.3778899878
140	0.3776804775
141	0.3773868977
142	0.377314429
143	0.3771268664
144	0.3769751063
145	0.3769093008
146	0.3767806248
147	0.3765534715
148	0.376166941
149	0.3759485038
150	0.375624549
151	0.3754795771
152	0.3753618047
153	0.3751955461
154	0.3750732826
155	0.3750019187
156	0.3748191
157	0.3744991594
158	0.3744269345
159	0.3743709822
160	0.3742328761
161	0.3740320216
162	0.3739241756
163	0.3737813795
164	0.373666434
165	0.3735846655
166	0.3734525439
167	0.3730564037
168	0.3729755985
169	0.3728620885
170	0.3728045478
171	0.3726325824
172	0.3725727694
173	0.3724274964
174	0.3723813529
175	0.3722410968
176	0.3719837402
177	0.3718475727
178	0.3718046694
179	0.3716867046
180	0.3714645577
181	0.3713920373
182	0.3713084932
183	0.3711044179
184	0.3710582599
185	0.3709494407
186	0.3707449025
187	0.3706200493
188	0.3705549482
189	0.370446703
190	0.37031428
191	0.3701987251
192	0.370045814
193	0.3699306463
194	0.3698703675
195	0.36979354
196	0.3697217753
197	0.36959577
198	0.369437485
199	0.3692927121
