iter	Passed	Remaining
0	179	35819
1	208	20602
2	234	15378
3	260	12762
4	286	11168
5	313	10125
6	334	9230
7	356	8567
8	378	8028
9	400	7605
10	424	7290
11	448	7022
12	474	6828
13	505	6713
14	530	6548
15	557	6407
16	585	6305
17	620	6276
18	652	6213
19	680	6124
20	712	6070
21	742	6010
22	773	5950
23	803	5891
24	835	5851
25	868	5812
26	900	5769
27	929	5707
28	958	5650
29	986	5592
30	1017	5548
31	1049	5512
32	1079	5463
33	1111	5428
34	1144	5395
35	1176	5357
36	1210	5334
37	1244	5306
38	1275	5263
39	1305	5222
40	1337	5188
41	1371	5158
42	1403	5124
43	1432	5078
44	1463	5039
45	1493	4998
46	1525	4965
47	1560	4940
48	1588	4895
49	1624	4872
50	1656	4839
51	1687	4802
52	1711	4746
53	1738	4700
54	1766	4657
55	1796	4620
56	1826	4581
57	1858	4550
58	1889	4515
59	1920	4480
60	1950	4443
61	1978	4403
62	2011	4374
63	2042	4341
64	2077	4314
65	2106	4277
66	2137	4242
67	2171	4215
68	2207	4190
69	2237	4154
70	2267	4120
71	2299	4088
72	2328	4051
73	2356	4012
74	2381	3969
75	2408	3929
76	2434	3889
77	2462	3851
78	2497	3824
79	2530	3795
80	2556	3755
81	2585	3720
82	2618	3690
83	2654	3665
84	2686	3634
85	2718	3603
86	2744	3564
87	2770	3526
88	2801	3494
89	2825	3453
90	2854	3418
91	2885	3386
92	2915	3353
93	2945	3321
94	2974	3287
95	3003	3253
96	3035	3223
97	3065	3190
98	3094	3156
99	3124	3124
100	3156	3093
101	3186	3061
102	3215	3027
103	3248	2998
104	3277	2965
105	3307	2933
106	3337	2901
107	3366	2867
108	3390	2830
109	3416	2794
110	3445	2762
111	3474	2729
112	3503	2697
113	3534	2666
114	3565	2635
115	3593	2602
116	3623	2570
117	3653	2538
118	3687	2509
119	3716	2477
120	3745	2445
121	3777	2415
122	3808	2383
123	3838	2352
124	3870	2322
125	3900	2290
126	3933	2261
127	3966	2231
128	3996	2199
129	4029	2169
130	4057	2137
131	4087	2105
132	4115	2073
133	4144	2041
134	4172	2008
135	4199	1976
136	4224	1942
137	4253	1910
138	4285	1880
139	4307	1845
140	4324	1809
141	4345	1774
142	4364	1739
143	4385	1705
144	4405	1671
145	4429	1638
146	4455	1606
147	4482	1574
148	4509	1543
149	4538	1512
150	4568	1482
151	4597	1451
152	4627	1421
153	4655	1390
154	4685	1360
155	4716	1330
156	4745	1299
157	4776	1269
158	4805	1239
159	4835	1208
160	4865	1178
161	4892	1147
162	4923	1117
163	4953	1087
164	4987	1057
165	5016	1027
166	5047	997
167	5079	967
168	5107	936
169	5140	907
170	5170	876
171	5201	846
172	5231	816
173	5262	786
174	5291	755
175	5329	726
176	5360	696
177	5390	666
178	5419	635
179	5450	605
180	5481	575
181	5511	545
182	5545	515
183	5577	484
184	5612	455
185	5643	424
186	5663	393
187	5684	362
188	5705	332
189	5726	301
190	5747	270
191	5767	240
192	5787	209
193	5808	179
194	5832	149
195	5857	119
196	5881	89
197	5908	59
198	5937	29
199	5967	0
